condition_id,goal_framing,instruction_wording,persona_format,prompt_length_mean,prompt_prompt_length,prompt_numeric_token_count,prompt_token_11_count,prompt_token_20_count,prompt_contains_descending_phrase,prompt_contains_number_words,prompt_contains_one_shot,prompt_contains_private,prompt_opponent_word_count,prompt_participant_word_count,prompt_persona_length,prompt_hashes
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral,none,default,default,1510.0,1510.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,21cd13b9800d3d4bfd43827cb07362b950f8e42eae6861d5d989bea995234e0e
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-descending-range,none,descending-range,default,1520.0,1520.0,16.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,e60a2fed9da9888f252627c8380add01d7cc1f871b813c78ec5f19c970a2e4a4
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-numbers-as-words,none,numbers-as-words,default,1534.0,1534.0,10.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,0ea8c6d0193fb07a7fe29b469f0d808f83f72c8a1d4074c459e784f73ef6e144
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-paraphrase-a,none,paraphrase-a,default,1560.0,1560.0,16.0,7.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,67.0,c484ce6d89fe42cdf6957f6e7fa878117d4178f2c6342a905712715f3b2bc441
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-paraphrase-b,none,paraphrase-b,default,1578.0,1578.0,16.0,7.0,9.0,0.0,0.0,0.0,1.0,0.0,4.0,67.0,aa6c3fc0a3c134c31513c6a4ab974f46b968fac336d489b293d3c67ab54382f1
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__persona_format-descriptive,none,default,descriptive,1640.0,1640.0,16.0,7.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,197.0,d54e9ba77a6b13c6c2fea81c30f22b3fc4149c82f1ac6a2195070af8dc13fab2
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__persona_format-tabular,none,default,tabular,1576.0,1576.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,dc3c75bddeed598f7bfac24972d8c7f09f086946300adc2f4f711a331a7c7b05
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__response_format-bare-number,none,default,default,1510.0,1510.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,21cd13b9800d3d4bfd43827cb07362b950f8e42eae6861d5d989bea995234e0e
game_variant-basic__goal_framing-none__model-qwen3.5-27b-fp8__persona-neutral__temperature-1.0,none,default,default,1510.0,1510.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,21cd13b9800d3d4bfd43827cb07362b950f8e42eae6861d5d989bea995234e0e
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral,strategic,default,default,1510.0,1510.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,21cd13b9800d3d4bfd43827cb07362b950f8e42eae6861d5d989bea995234e0e
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-descending-range,strategic,descending-range,default,1520.0,1520.0,16.0,7.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,67.0,e60a2fed9da9888f252627c8380add01d7cc1f871b813c78ec5f19c970a2e4a4
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-numbers-as-words,strategic,numbers-as-words,default,1534.0,1534.0,10.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,67.0,0ea8c6d0193fb07a7fe29b469f0d808f83f72c8a1d4074c459e784f73ef6e144
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-paraphrase-a,strategic,paraphrase-a,default,1560.0,1560.0,16.0,7.0,9.0,0.0,0.0,0.0,1.0,2.0,0.0,67.0,c484ce6d89fe42cdf6957f6e7fa878117d4178f2c6342a905712715f3b2bc441
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__instruction_wording-paraphrase-b,strategic,paraphrase-b,default,1578.0,1578.0,16.0,7.0,9.0,0.0,0.0,0.0,1.0,0.0,4.0,67.0,aa6c3fc0a3c134c31513c6a4ab974f46b968fac336d489b293d3c67ab54382f1
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-descriptive,strategic,default,descriptive,1640.0,1640.0,16.0,7.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,197.0,d54e9ba77a6b13c6c2fea81c30f22b3fc4149c82f1ac6a2195070af8dc13fab2
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__persona_format-tabular,strategic,default,tabular,1576.0,1576.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,dc3c75bddeed598f7bfac24972d8c7f09f086946300adc2f4f711a331a7c7b05
game_variant-basic__goal_framing-strategic__model-qwen3.5-27b-fp8__persona-neutral__response_format-bare-number,strategic,default,default,1510.0,1510.0,16.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,21cd13b9800d3d4bfd43827cb07362b950f8e42eae6861d5d989bea995234e0e
